seed,weight_decay,N,selected_proxy_reward_mean,selected_true_utility_mean,selected_spurious_utility_mean,oracle_best_true_utility_mean,random_candidate_true_utility_mean,proxy_minus_true_gap
90002,0.1,16,4.103309631347656,0.017040370032191277,6.699466705322266,1.7813539505004883,-0.023621786385774612,4.086269378662109
90002,0.1,64,4.107264995574951,0.0015475854743272066,9.324522018432617,2.3504035472869873,-0.023621786385774612,4.105717182159424
90002,0.1,256,4.107287406921387,0.006607618182897568,11.12867546081543,2.8376986980438232,-0.023621786385774612,4.100679874420166
90002,1.0,1,1.6825783252716064,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,1.706200122833252
90002,1.0,4,2.393282890319824,0.0006736292853020132,4.128282070159912,1.003263235092163,-0.023621786385774612,2.3926093578338623
90002,1.0,16,2.4649295806884766,0.025405878201127052,6.685059070587158,1.7813539505004883,-0.023621786385774612,2.439523696899414
90002,1.0,64,2.465919017791748,0.008991096168756485,9.181836128234863,2.3504035472869873,-0.023621786385774612,2.456928014755249
90002,1.0,256,2.4659247398376465,0.013856410048902035,10.451531410217285,2.8376986980438232,-0.023621786385774612,2.452068328857422
90003,0.0,1,2.6300010681152344,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,2.632941961288452
90003,0.0,4,4.225661754608154,0.03531166911125183,4.095462799072266,1.022051215171814,-0.0029408144764602184,4.19035005569458
90003,0.0,16,4.551913261413574,0.09872730076313019,6.561731338500977,1.7613469362258911,-0.0029408144764602184,4.45318603515625
90003,0.0,64,4.562234401702881,0.11133313179016113,9.32482624053955,2.355470895767212,-0.0029408144764602184,4.450901031494141
90003,0.0,256,4.562404155731201,0.10217472910881042,11.627311706542969,2.858572244644165,-0.0029408144764602184,4.460229396820068
90003,1e-05,1,2.6300010681152344,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,2.632941961288452
90003,1e-05,4,4.225661754608154,0.03531166911125183,4.095462799072266,1.022051215171814,-0.0029408144764602184,4.19035005569458
90003,1e-05,16,4.551913261413574,0.09872730076313019,6.561731338500977,1.7613469362258911,-0.0029408144764602184,4.45318603515625
90003,1e-05,64,4.562234401702881,0.11133313179016113,9.32482624053955,2.355470895767212,-0.0029408144764602184,4.450901031494141
